东经,北纬,测试数据 
112.069755,35.586224,4.75
112.601538,35.620514,5.03
112.599175,35.566587,4.99
112.191874,35.587984,4.84
112.546255,35.732047,5.25
112.564268,35.663504,5.09
112.496053,35.682948,5.04
112.590209,35.707476,5.09
112.664215,35.712049,5.06
112.692795,35.717452,4.15
112.651334,35.818889,5.24
112.674149,35.923968,4.49
112.594735,35.892462,4.87
112.562523,36.00012,4.87
112.627978,35.778817,4.65
112.577338,35.870298,4.99
112.331792,35.60621,5.1
112.306038,35.611817,5.1
112.384535,35.588794,5.1
112.365268,35.54407,5.2
112.248194,35.419988,5.1
112.280596,35.436583,5
112.305695,35.49437,5.1
112.539621,35.475814,5.1
112.531195,35.53226,5
112.519182,35.516228,5.1
112.487836,35.35821,5.1
112.527589,35.361345,5
112.50741,35.392728,5
112.429352,35.570904,5
112.38828,35.358869,5.1
112.328227,35.387211,5
112.356643,35.418673,5.1
112.357788,35.445147,5.1
112.430331,35.523925,5.1
112.363088,35.441535,5.1
112.460031,35.45576,5.2
112.601887,35.481406,5.1
112.583358,35.449917,5.2
112.564814,35.446879,5.1
112.489327,35.449543,5.1
112.414511,35.572149,5.2
112.443033,35.567263,5
112.262863,35.53345,5.1
112.3478,35.495933,5.05
113.323022,35.78992,5
113.324978,35.769364,5
113.134173,35.810539,5
113.126034,35.775304,5.3
113.190544,35.768887,4.9
113.145809,35.786878,5
113.339278,35.83092,4.6
113.305102,35.859755,4.9
113.292532,35.816583,5
113.167518,35.66768,5.1
113.207212,35.665603,5.1
113.163057,35.648245,5
113.135595,35.706441,5
113.107577,35.63152,5.1
113.091082,35.600787,5
113.073855,35.638831,5.1
113.332012,35.731729,5.2
113.252421,35.658283,5
113.257759,35.825789,5
113.150227,35.826501,5
112.862735,35.693119,4.75
112.941296,35.591901,5.15
113.084,35.7866,5.2
113.0192,35.7601,5
113.0841,35.7382,5.1
113.0542,35.7838,5.1
112.8656,35.712,5.1
112.8191,35.6992,5.1
112.8186,35.8687,5.1
112.8684,35.9168,5
113.1022,35.7027,5.1
113.0494,35.8387,5
113.0283,35.6849,5
112.7787,35.7567,5.1
112.8834,35.8194,5
112.9801,35.878,5
113.1186,35.8398,5.1
112.8941,35.8468,5.1
112.7542,35.8348,5
112.8856,35.7299,5.2
112.923,35.695,5.1
112.7931,35.7373,5.2
112.9382,35.8522,5.1
112.9413,35.8019,5.2
110.736135,35.136388,5.2
110.763755,35.132484,5.2
110.813436,35.146381,5.1
110.78116,35.106543,5.2
110.673092,35.201081,5.2
110.780695,35.225287,5.3
110.779202,35.246364,5.2
110.770119,35.182236,5.3
110.712691,35.231876,5.1
110.493855,35.129449,5.1
110.392883,35.1266,5.1
110.416904,35.1,5.2
110.480406,35.137257,5.2
110.390253,35.100072,5.2
110.512915,35.226969,5.2
110.490807,35.204546,5.1
110.46115,35.187073,5.2
110.887543,35.093684,5.1
110.849001,35.06926,5.1
110.83435,35.046842,5.1
110.83407,35.075946,5.2
110.837314,35.117647,5.2
110.424181,35.195938,5.2
110.514512,35.268364,5.2
110.526676,35.274051,5.2
111.482316,35.445268,5.2
111.487102,35.448259,5.2
111.502239,35.44635,5.2
111.53107,35.452765,5.3
110.831056,35.405201,5.2
110.856874,35.393631,5.3
110.886276,35.402383,5.2
110.856906,35.442995,5.2
110.829396,35.436011,5.1
110.799676,35.378721,5.2
110.841734,35.360859,5.1
110.816752,35.352741,5.2
110.768403,35.376404,5.4
110.753102,35.381814,5.4
110.74675,35.370555,5.1
110.756601,35.348988,5.2
110.873259,35.30144,5.2
110.91235,35.321038,5.2
110.728072,35.427962,5.2
110.735553,35.436043,5.2
110.719916,35.464135,5.1
110.683989,35.457399,5.2
110.734095,35.46487,5.1
110.570825,35.363209,5.2
110.556239,35.336408,5.2
110.53877,35.356135,5.2
110.524533,35.359825,5.2
110.809673,35.464928,5.2
110.79456,35.500166,5.2
110.83704,35.486462,5.2
110.827982,35.482579,5.1
110.787596,35.477861,5.3
111.250032,35.31825,5.2
111.317409,35.499394,5.2
111.194185,35.450093,5.2
111.234367,35.467619,5.2
111.220199,35.47288,5.1
111.222328,35.446004,5.2
111.220545,35.472432,5.1
111.206204,35.452503,5.1
110.853002,35.654908,5.66
111.011045,35.54266,5.6
110.958746,35.532014,5.48
111.231609,35.575696,5.2
111.220182,35.545888,5.1
111.219058,35.583238,5.1
111.135695,35.660122,5.1
111.082521,35.664218,5
111.087346,35.703305,5
111.125559,35.721668,4.8
